dates,Portfolio,Market,Size,Value,Momentum
1992m8,-0.06296,-0.0438692,-0.0262825,-0.0063357,0.0392609
1992m9,-0.018461,0.0973425,-0.0325786,-0.018659,-0.0072084
1992m10,0.0250497,0.0404584,-0.0280926,0.0226824,-0.0352241
1992m11,0.0735331,0.0435208,0.0007469,0.0136965,0.003021
1992m12,0.0746374,0.0373476,0.0595661,0.0137098,-0.0286569
1993m1,0.1128149,-0.0009459,0.0733496,0.0380385,0.0033848
1993m2,0.0688308,0.022761,-0.0048761,0.0411929,0.004067
1993m3,0.0538614,0.0073841,0.0121962,0.0373045,0.0224907
1993m4,0.0768051,-0.0147307,0.0400708,0.0373131,-0.0200745
1993m5,0.1119223,0.0095269,0.0129392,0.0264983,0.0130786
1993m6,0.0201671,0.0196551,0.0032821,0.0275053,0.0235213
1993m7,0.0245516,0.0105568,-0.0176129,0.0288006,0.020392
1993m8,0.0877147,0.0601313,0.0043682,0.0025574,-0.0115412
1993m9,0.0138066,-0.0210819,0.0074121,0.0254643,0.0306581
1993m10,0.0375375,0.0380814,-0.0229453,0.0028916,0.0206879
1993m11,0.0489746,-0.0067378,-0.0235027,-0.0031357,0.0083944
1993m12,0.0254062,0.0798376,-0.011811,0.01815,0.0407653
1994m1,0.0188434,0.0367489,0.0704165,0.0234469,0.0080334
1994m2,0.0013046,-0.041906,0.0406308,0.0038958,-0.0114049
1994m3,-0.0224949,-0.0661052,-0.009691,-0.0032695,-0.0288266
1994m4,0.0595296,0.0112651,0.0016855,-0.0024095,0.0001492
1994m5,0.0149372,-0.0522108,0.0173526,0.0120739,-0.0005714
1994m6,-0.0483531,-0.024789,-0.0383048,0.0015575,-0.0076364
1994m7,0.0398816,0.055481,-0.0232635,0.0147783,0.0153881
1994m8,0.0436444,0.0514418,-0.0348893,-0.00475,0.0007706
1994m9,-0.0094892,-0.0712182,0.0237056,0.0038183,0.0147743
1994m10,-0.0410585,0.0148655,-0.0287575,0.0049818,0.0032636
1994m11,-0.0161111,-0.0074402,-0.0028239,-0.0070471,0.0027919
1994m12,0.0007484,-0.0052031,-0.0145956,0.0025192,0.0107459
1995m1,-0.0336369,-0.0305214,0.0060249,-0.0010871,0.0092479
1995m2,-0.0532728,0.0023142,-0.0135097,-0.0080431,-0.0112006
1995m3,-0.0085346,0.0382535,-0.0150894,-0.0106359,-0.0138472
1995m4,0.0006051,0.0238628,0.002503,0.0008217,0.0170887
1995m5,0.0277032,0.0331794,0.0104318,0.0071171,0.0005363
1995m6,-0.0033921,-0.0074538,-0.0165692,-0.029799,0.0417687
1995m7,0.0323991,0.0459319,0.0016165,0.0059509,-0.0004678
1995m8,0.0225697,0.008683,0.0132271,-0.0346774,0.0209362
1995m9,0.0058529,0.0080999,0.0111464,-0.0353252,0.040944
1995m10,-0.0206292,-0.0026856,-0.0045089,-0.0417568,0.0481271
1995m11,-0.0060732,0.0289042,-0.0098844,0.006084,0.0246282
1995m12,0.0077549,0.0079459,-0.0062745,0.0061752,0.0001816
1996m1,-0.0011175,0.0196418,0.0187441,-0.0057106,0.0095453
1996m2,-0.0078119,-0.0031101,0.0260786,0.0001511,-0.0025608
1996m3,0.0457151,0.0042287,0.025317,0.0008214,-0.0054985
1996m4,0.071038,0.0385047,0.0350723,-0.0024196,0.0047671
1996m5,0.0593172,-0.0168621,0.0222905,-0.0322798,0.0102116
1996m6,-0.0298701,-0.016554,-0.0091993,0.0000654,0.0187362
1996m7,-0.029875,-0.011957,-0.0289144,0.0134066,-0.0074436
1996m8,0.0212013,0.0455253,-0.0109925,-0.0087852,0.0303477
1996m9,0.0005009,0.0142639,-0.0100472,-0.0080151,0.0302999
1996m10,0.0120859,0.003455,0.0109662,-0.0155661,0.017415
1996m11,-0.0036676,0.0117679,-0.0231044,0.0203565,-0.0051306
1996m12,0.0093522,0.012353,-0.0075191,0.0191452,0.0026544
1997m1,0.0335494,0.0329853,0.0393071,0.0043012,0.0488566
1997m2,0.0500017,0.0070158,0.0060131,-0.0006747,-0.0161924
1997m3,-0.0270974,-0.0022919,-0.0232634,0.0087832,-0.009495
1997m4,0.0541849,0.0164557,-0.0174697,0.0105926,0.0417476
1997m5,-0.0121691,0.028823,-0.0310778,0.026365,0.03388
1997m6,-0.0140804,-0.0090892,-0.0217617,0.0178887,0.0122855
1997m7,-0.0207565,0.0451627,-0.0559682,0.0218824,0.0346954
1997m8,0.0309011,-0.0095826,0.0370056,0.0015724,-0.0256236
1997m9,0.0246426,0.0754407,-0.0180225,-0.0142912,0.0038617
1997m10,0.0296591,-0.0702851,0.0342789,0.0249287,0.0150272
1997m11,-0.0311425,-0.0066578,-0.0240811,-0.0087127,-0.0074952
1997m12,0.0147191,0.0499325,-0.0166027,-0.0272308,0.0529941
1998m1,-0.0005176,0.0473042,-0.0408502,-0.0223456,0.1133065
1998m2,0.0620515,0.0538149,0.0079959,-0.016233,-0.0126206
1998m3,0.0167949,0.0370954,0.0187001,0.0213336,0.0015689
1998m4,-0.004458,-0.0009465,0.0079369,0.0028036,-0.0150336
1998m5,0.0540332,0.0006455,0.0489057,-0.0061565,0.0148638
1998m6,-0.0280229,-0.0247548,-0.0615137,-0.0041999,0.0495941
1998m7,-0.0342599,-0.008281,-0.0357538,-0.0397334,0.0636447
1998m8,-0.0516206,-0.1096495,-0.047101,-0.0046746,0.0040282
1998m9,-0.0613837,-0.0424631,-0.0474867,0.0532143,-0.0418846
1998m10,-0.0356116,0.0644176,-0.0317043,-0.0182822,-0.0495461
1998m11,0.0094173,0.0454811,-0.0125685,-0.0036135,0.0381072
1998m12,0.0076788,0.014638,-0.0085316,-0.0667689,0.0551556
1999m1,0.0036713,0.0043613,0.0188208,-0.0422363,0.0435723
1999m2,0.0081073,0.0456121,0.031862,0.0173175,-0.0699194
1999m3,0.0267242,0.0268755,0.0485012,0.0030917,-0.0534305
1999m4,0.0612256,0.0444368,0.0354017,0.1121764,-0.0982789
1999m5,0.0074741,-0.0484096,0.0116899,0.0048815,0.0154824
1999m6,0.0305833,0.0175856,0.0070016,0.0072917,0.005095
1999m7,0.0290736,-0.0103374,0.0609033,-0.0237914,0.0164755
1999m8,0.0313438,0.0048894,0.0225966,0.0135793,-0.0227069
1999m9,-0.0167356,-0.0408301,0.0202645,-0.0532251,0.0037352
1999m10,0.0209266,0.0243423,-0.0023236,-0.1024354,0.046458
1999m11,0.1101234,0.0599807,0.0775275,-0.1716799,0.1262936
1999m12,0.1147392,0.0471313,0.0243733,-0.0457216,0.1149212
2000m1,0.114551,-0.086232,0.1115271,-0.1065346,0.0685423
2000m2,0.0364241,0.0021793,0.097036,-0.2042041,0.1128531
2000m3,-0.0742515,0.0395066,-0.1075606,0.1110203,-0.1912146
2000m4,-0.095226,-0.037685,-0.0825893,0.1272198,-0.137214
2000m5,-0.0368142,0.0020702,-0.0488582,0.1010802,-0.1294323
2000m6,0.0097381,0.0005695,0.0546397,0.0103732,0.0440213
2000m7,-0.0105111,0.0071253,0.0070027,-0.0586665,0.0364904
2000m8,0.0477348,0.0470104,0.0446581,-0.055822,0.0398493
2000m9,-0.023836,-0.0589828,0.0072712,0.0506257,-0.0630801
2000m10,-0.0316503,0.0124343,-0.0624302,0.0836501,-0.0852855
2000m11,-0.021044,-0.0464909,0.0077649,0.1186509,-0.1066565
2000m12,0.0242614,0.0103497,0.0314931,0.0069357,0.0088882
2001m1,0.0500808,0.0116604,0.0448717,0.0477286,-0.062398
2001m2,0.0127974,-0.0551506,0.020703,0.0360764,0.103314
2001m3,-0.0596976,-0.0547599,-0.0278085,0.0921176,0.0863046
2001m4,0.0352999,0.0562733,0.0085854,0.0227228,-0.030572
2001m5,0.0160419,-0.0220685,0.0348443,0.0113129,0.0709475
2001m6,0.0346691,-0.0322949,-0.0105073,0.0571396,0.0895802
2001m7,0.0150275,-0.0267957,-0.0295197,0.0299714,0.0096278
2001m8,-0.0108452,-0.0264619,0.0474759,0.0375929,0.0823208
2001m9,-0.0763371,-0.0977467,-0.0873189,0.0465306,0.0607241
2001m10,0.0322403,0.0290503,0.0317816,-0.0592442,-0.061447
2001m11,0.1011597,0.0405367,0.0884378,0.0244789,-0.0731481
2001m12,0.0246859,0.0013719,0.0072692,0.0005884,0.030973
2002m1,-0.0244019,-0.0136,-0.0232034,-0.0640662,0.0993742
2002m2,0.0289318,-0.0112808,-0.0276148,-0.0495728,0.0783836
2002m3,0.0297026,0.0386843,0.0081751,0.0218801,0.0079227
2002m4,0.0389996,-0.0188327,0.026381,-0.0333268,0.0596987
2002m5,0.0104559,-0.0156388,0.0120881,0.0245133,0.0220491
2002m6,-0.0445548,-0.087461,-0.0165675,-0.011625,0.0526946
2002m7,-0.031892,-0.0955345,-0.0430571,0.0590721,0.0180456
2002m8,-0.0002202,0.0001756,-0.0249565,0.0251137,0.0318728
2002m9,-0.0287354,-0.1206794,-0.0110066,-0.047941,0.0881176
2002m10,0.0442229,0.0747877,-0.0714462,0.0475169,-0.0214313
2002m11,0.0680286,0.0322744,0.0291797,0.0825134,-0.0948011
2002m12,-0.0938138,-0.0565668,0.0074545,-0.0077153,0.0739742
2003m1,-0.0218068,-0.092797,0.1381737,0.2094932,-0.011514
2003m2,0.0187829,0.023401,-0.0656532,-0.0446335,0.0354259
2003m3,-0.0104768,-0.0090349,-0.0222839,-0.0445188,0.0151447
2003m4,0.0337319,0.0909077,0.0170005,0.0078823,-0.1163948
2003m5,0.1775235,0.0410379,0.1520248,0.1917573,-0.0501926
2003m6,0.092601,0.0002591,0.0299355,-0.0760152,-0.0195931
2003m7,0.0575166,0.0367967,0.012114,0.0014557,-0.0307713
2003m8,0.1262979,0.01275,0.0218201,-0.025353,-0.0192642
2003m9,-0.0157516,-0.0188586,0.0109726,0.0352343,0.0174017
2003m10,0.0489484,0.046389,-0.0098069,0.0056171,0.0171144
2003m11,0.0027322,0.0097524,-0.0133111,0.026548,-0.0118651
2003m12,0.0163007,0.0260554,-0.0042193,0.0180296,-0.0010189
2004m1,0.0577828,-0.0119008,0.0670667,0.0114838,0.0556449
2004m2,0.0503452,0.0253043,-0.006752,0.0119443,0.0234306
2004m3,-0.0550642,-0.0166261,0.0101006,0.0031245,-0.0128567
2004m4,0.0019494,0.0171535,-0.0163086,-0.0020059,-0.0350689
2004m5,-0.055162,-0.0168435,-0.0232899,0.0015276,-0.0142452
2004m6,0.0515664,0.0109333,0.0297921,-0.0104497,0.0312877
2004m7,-0.062459,-0.0192295,-0.002558,0.0224351,-0.0019909
2004m8,-0.0043054,0.0126778,-0.0144355,0.0166243,-0.0030989
2004m9,0.0468051,0.0239465,0.0100943,0.0163779,0.0279598
2004m10,0.0195878,0.0084591,0.0032938,0.0169236,-0.0024512
2004m11,-0.0042465,0.0201926,0.0100553,0.0268931,0.0147123
2004m12,-0.0037348,0.0252919,0.0121335,0.0038886,-0.0031421
2005m1,-0.0129976,0.0094886,0.0316613,0.0184358,0.0000641
2005m2,0.1042236,0.022048,-0.0039199,-0.0094366,-0.0016175
2005m3,-0.0196926,-0.0126439,-0.0046232,0.0088661,-0.015368
2005m4,-0.043965,-0.0263744,-0.0274662,-0.0164468,-0.0086339
2005m5,0.0007157,0.035244,-0.011901,0.0120988,0.0061409
2005m6,0.0141498,0.0301903,0.0158804,0.0044657,0.0189306
2005m7,0.0270577,0.0302374,0.0006208,0.0053796,0.0021868
2005m8,-0.0255455,0.0080861,0.0189861,0.0085258,0.0229643
2005m9,-0.020262,0.0305727,-0.0114024,-0.0275005,0.0474107
2005m10,-0.082923,-0.0324898,-0.020339,0.0040822,-0.0057749
2005m11,0.0355678,0.0294358,0.0544493,-0.0282668,0.0247983
2005m12,0.0209562,0.0357398,-0.0069877,-0.01015,0.0167744
2006m1,-0.0318782,0.0255177,0.0308568,-0.0116347,0.0434073
2006m2,-0.0008458,0.0084909,0.0136052,0.0069401,-0.0083032
2006m3,-0.0309966,0.0342941,-0.0158021,0.0088276,0.0230261
2006m4,0.0075056,0.0070248,-0.0065326,-0.0232637,0.0325208
2006m5,-0.0334209,-0.0515006,-0.0097674,-0.0025709,-0.020613
2006m6,0.0045375,0.0163925,-0.0068589,0.0083587,-0.011067
